ISO-3,Country,Population,Region,Prevalence,Strength of government response
AFG,Afghanistan,"  33,736,000 ",Asia and the Pacific,22.19,0.00
ALB,Albania,"  2,923,000 ",Europe and Central Asia,6.87,59.88
DZA,Algeria,"  39,872,000 ",Africa,2.65,36.25
AGO,Angola,"  27,859,000 ",Africa,7.15,29.46
ATG,Antigua and Barbuda,"  100,000 ",Americas,0.00,0.00
ARG,Argentina,"  43,418,000 ",Americas,1.26,62.62
ARM,Armenia,"  2,917,000 ",Europe and Central Asia,5.34,53.21
AUS,Australia,"  23,800,000 ",Asia and the Pacific,0.65,63.75
AUT,Austria,"  8,679,000 ",Europe and Central Asia,1.74,63.10
AZE,Azerbaijan,"  9,617,000 ",Europe and Central Asia,4.46,48.15
BHS,Bahamas,"  387,000 ",Americas,0.00,0.00
BHR,Bahrain,"  1,372,000 ",Arab States,1.88,32.56
BGD,Bangladesh,"  161,201,000 ",Asia and the Pacific,3.67,44.40
BRB,Barbados,"  284,000 ",Americas,2.75,39.40
BLR,Belarus,"  9,486,000 ",Europe and Central Asia,10.88,40.12
BEL,Belgium,"  11,288,000 ",Europe and Central Asia,2.03,68.33
BLZ,Belize,"  359,000 ",Americas,0.00,0.00
BEN,Benin,"  10,576,000 ",Africa,5.46,37.74
BOL,"Bolivia, Plurinational State of","  10,725,000 ",Americas,2.13,41.25
BIH,Bosnia and Herzegovina,"  3,536,000 ",Europe and Central Asia,3.42,48.63
BWA,Botswana,"  2,209,000 ",Africa,3.43,33.21
BRA,Brazil,"  205,962,000 ",Americas,1.79,55.60
BRN,Brunei Darussalam,"  418,000 ",Asia and the Pacific,10.93,20.60
BGR,Bulgaria,"  7,177,000 ",Europe and Central Asia,4.46,55.83
BFA,Burkina Faso,"  18,111,000 ",Africa,4.52,35.65
BDI,Burundi,"  10,199,000 ",Africa,39.95,10.71
KHM,Cambodia,"  15,518,000 ",Asia and the Pacific,16.81,37.56
CMR,Cameroon,"  22,835,000 ",Africa,6.87,25.42
CAN,Canada,"  35,950,000 ",Americas,0.48,58.63
CPV,Cape Verde,"  533,000 ",Africa,4.11,22.92
CAF,Central African Republic,"  4,546,000 ",Africa,22.25,2.50
TCD,Chad,"  14,009,000 ",Africa,11.98,16.67
CHL,Chile,"  17,763,000 ",Americas,0.78,62.32
CHN,China,"  1,397,029,000 ",Asia and the Pacific,2.77,27.38
COL,Colombia,"  48,229,000 ",Americas,2.73,41.07
COG,Congo,"  4,996,000 ",Africa,8.03,14.82
COD,"Congo, Democratic Republic of the","  76,197,000 ",Africa,13.71,18.93
CRI,Costa Rica,"  4,808,000 ",Americas,1.25,50.00
CIV,Côte d'Ivoire,"  23,108,000 ",Africa,5.91,42.44
HRV,Croatia,"  4,236,000 ",Europe and Central Asia,5.99,68.15
CUB,Cuba,"  11,461,000 ",Americas,3.77,20.77
CYP,Cyprus,"  1,161,000 ",Europe and Central Asia,4.22,63.39
CZE,Czech Republic,"  10,604,000 ",Europe and Central Asia,2.88,52.92
DNK,Denmark,"  5,689,000 ",Europe and Central Asia,1.63,58.57
DJI,Djibouti,"  927,000 ",Africa,7.15,35.30
DMA,Dominica,  -   ,Americas,0.00,0.00
DOM,Dominican Republic,"  10,528,000 ",Americas,4.03,58.04
ECU,Ecuador,"  16,144,000 ",Americas,2.43,46.43
EGY,Egypt,"  93,778,000 ",Africa,5.52,40.06
SLV,El Salvador,"  6,312,000 ",Americas,2.55,37.38
GNQ,Equatorial Guinea,"  1,175,000 ",Africa,6.36,8.57
ERI,Eritrea,"  4,847,000 ",Africa,93.03,-2.02
EST,Estonia,"  1,315,000 ",Europe and Central Asia,3.60,48.81
ETH,Ethiopia,"  99,873,000 ",Africa,6.15,36.25
FJI,Fiji,"  892,000 ",Asia and the Pacific,0.00,0.00
FIN,Finland,"  5,482,000 ",Europe and Central Asia,1.65,57.92
FRA,France,"  64,457,000 ",Europe and Central Asia,2.01,61.55
GAB,Gabon,"  1,930,000 ",Africa,4.83,24.23
GMB,Gambia,"  1,978,000 ",Africa,5.80,33.87
GEO,Georgia,"  3,952,000 ",Europe and Central Asia,4.33,62.80
DEU,Germany,"  81,708,000 ",Europe and Central Asia,2.04,57.14
GHA,Ghana,"  27,583,000 ",Africa,4.84,27.62
GRC,Greece,"  11,218,000 ",Europe and Central Asia,7.91,55.06
GRD,Grenada,"  107,000 ",Americas,0.00,0.00
GTM,Guatemala,"  16,252,000 ",Americas,2.92,45.24
GIN,Guinea,"  12,092,000 ",Africa,7.80,19.35
GNB,Guinea-Bissau,"  1,771,000 ",Africa,7.46,18.87
GUY,Guyana,"  769,000 ",Americas,2.59,31.49
HTI,Haiti,"  10,711,000 ",Americas,5.55,39.70
HND,Honduras,"  8,961,000 ",Americas,3.39,36.96
HKG,"Hong Kong, China","  7,246,000 ",Asia and the Pacific,1.40,21.37
HUN,Hungary,"  9,784,000 ",Europe and Central Asia,3.67,58.15
ISL,Iceland,"  330,000 ",Europe and Central Asia,2.11,46.37
IND,India,"  1,309,054,000 ",Asia and the Pacific,6.10,45.65
IDN,Indonesia,"  258,162,000 ",Asia and the Pacific,4.73,50.83
IRN,"Iran, Islamic Republic of","  79,360,000 ",Asia and the Pacific,16.24,6.79
IRQ,Iraq,"  36,116,000 ",Arab States,4.83,0.00
IRL,Ireland,"  4,700,000 ",Europe and Central Asia,1.67,57.74
ISR,Israel,"  8,065,000 ",Europe and Central Asia,3.86,52.14
ITA,Italy,"  59,504,000 ",Europe and Central Asia,2.43,61.96
JAM,Jamaica,"  2,872,000 ",Americas,2.57,58.63
JPN,Japan,"  127,975,000 ",Asia and the Pacific,0.29,36.61
JOR,Jordan,"  9,159,000 ",Arab States,1.80,38.63
KAZ,Kazakhstan,"  17,750,000 ",Europe and Central Asia,4.21,32.80
KEN,Kenya,"  47,236,000 ",Africa,6.94,36.49
KIR,Kiribati,"  112,000 ",Asia and the Pacific,0.00,0.00
PRK,"Korea, Democratic People's Republic of","  25,244,000 ",Asia and the Pacific,104.56,-5.60
KOR,"Korea, Republic of","  50,594,000 ",Asia and the Pacific,1.95,27.62
XKX,Kosovo,"  1,905,000 ",Europe and Central Asia,3.97,54.81
